# xoscope, version 1.5, 640x480
#
# -a 1
# -r 44100
# -s 1/1
# -t 0:0:x
# -c 4
# -d 4
# -m 0
# -p 2
# -g 0
# -z
# -1 0:1/1:x
# -2 0:1/1:y
# -3 -160:1/1:6
# -4 -160:1/1:7
# -5 0:1/1:4
# -6 0:1/1:3
# -7 +0:1/1:0
# -8 +144:1/1:0
# a(02)	b(03)	c(14)	d(06)	e(05)	f(01)
#:44100	44100	44100	44100	44100	44100
-10	-14	96	32	4	-24
-8	-14	96	32	6	-22
-7	-14	121	80	7	-21
-8	-16	121	80	8	-24
-8	-17	101	115	9	-25
-6	-16	64	81	10	-22
-5	-14	64	81	9	-19
-2	-11	93	101	9	-13
0	-8	93	101	8	-8
1	-8	71	86	9	-7
0	-9	160	202	9	-9
-2	-10	160	202	8	-12
-5	-12	35	71	7	-17
-7	-15	35	71	8	-22
-6	-14	16	35	8	-20
-5	-13	16	35	8	-18
-6	-13	16	32	7	-19
-9	-14	22	35	5	-23
-12	-16	22	35	4	-28
-15	-17	57	35	2	-32
-14	-15	57	35	1	-29
-12	-14	50	32	2	-26
-10	-12	45	50	2	-22
-9	-11	45	50	2	-20
-10	-10	35	16	0	-20
-8	-7	35	16	-1	-15
-7	-4	65	101	-3	-11
-9	-4	65	101	-5	-13
-11	-6	81	64	-5	-17
-13	-6	32	22	-7	-19
-13	-3	32	22	-10	-16
-11	3	32	48	-14	-8
-9	8	32	48	-17	-1
-6	13	50	35	-19	7
-1	17	57	50	-18	16
1	16	57	50	-15	17
1	15	32	32	-14	16
4	19	32	32	-15	23
9	25	0	22	-16	34
12	28	0	22	-16	40
11	26	32	32	-15	37
13	25	35	32	-12	38
18	29	35	32	-11	47
22	33	0	32	-11	55
24	35	0	32	-11	59
24	34	35	35	-10	58
23	30	35	35	-7	53
24	28	35	35	-4	52
26	28	35	35	-2	54
27	30	35	35	-3	57
27	31	50	45	-4	58
24	27	50	45	-3	51
20	22	35	32	-2	42
19	21	32	32	-2	40
20	22	32	32	-2	42
21	21	22	0	0	42
20	20	22	0	0	40
18	18	16	16	0	36
18	18	16	16	0	36
18	19	32	32	-1	37
19	19	35	50	0	38
20	20	35	50	0	40
21	19	22	16	2	40
22	18	22	16	4	40
22	18	16	16	4	40
24	20	16	16	4	44
23	19	16	16	4	42
22	16	22	32	6	38
22	15	22	32	7	37
19	12	22	16	7	31
12	6	22	16	6	18
8	2	16	16	6	10
11	7	32	32	4	18
17	10	32	32	7	27
14	5	16	35	9	19
7	-4	16	35	11	3
3	-7	0	0	10	-4
6	-2	0	0	8	4
14	8	0	0	6	22
22	15	35	35	7	37
23	16	35	35	7	39
17	9	32	32	8	26
10	1	32	32	9	11
6	-3	35	35	9	3
6	-3	16	0	9	3
8	-1	16	0	9	7
8	-2	16	0	10	6
2	-9	16	0	11	-7
-7	-19	32	32	12	-26
-11	-24	32	32	13	-35
-7	-19	32	32	12	-26
-2	-13	32	32	11	-15
2	-8	32	32	10	-6
4	-5	35	22	9	-1
1	-7	35	22	8	-6
-5	-13	35	32	8	-18
-9	-15	22	35	6	-24
-8	-13	22	35	5	-21
-4	-7	35	35	3	-11
1	0	35	35	1	1
4	5	16	35	-1	9
2	5	16	16	-3	7
0	4	16	16	-4	4
0	5	35	32	-5	5
1	8	35	32	-7	9
4	12	16	16	-8	16
9	19	16	16	-10	28
12	24	35	35	-12	36
11	22	16	35	-11	33
7	19	16	35	-12	26
5	18	32	16	-13	23
8	22	32	16	-14	30
16	32	0	0	-16	48
23	39	0	0	-16	62
23	38	16	16	-15	61
16	31	16	16	-15	47
11	26	16	16	-15	37
10	24	32	35	-14	34
11	23	32	35	-12	34
12	23	22	16	-11	35
11	21	0	16	-10	32
5	15	0	16	-10	20
-1	10	16	22	-11	9
-4	7	16	22	-11	3
-4	6	16	16	-10	2
0	9	16	16	-9	9
4	13	16	16	-9	17
4	12	22	0	-8	16
-1	6	22	0	-7	5
-7	-1	32	32	-6	-8
-10	-5	32	32	-5	-15
-8	-4	22	22	-4	-12
-5	-1	35	35	-4	-6
-2	2	35	35	-4	0
1	4	22	0	-3	5
3	6	22	0	-3	9
3	6	35	45	-3	9
3	5	35	45	-2	8
6	8	16	16	-2	14
11	12	16	22	-1	23
13	13	16	22	0	26
10	9	22	32	1	19
6	6	22	32	0	12
2	2	0	0	0	4
1	1	0	0	0	2
3	4	0	0	-1	7
4	4	22	22	0	8
2	1	22	22	1	3
-1	-1	32	32	0	-2
-4	-4	32	32	0	-8
-5	-5	16	22	0	-10
-3	-5	16	16	2	-8
0	-4	16	16	4	-4
1	-3	0	16	4	-2
-2	-6	0	16	4	-8
-7	-11	0	0	4	-18
-10	-14	16	35	4	-24
-10	-16	16	35	6	-26
-10	-17	35	22	7	-27
-10	-19	35	22	9	-29
-13	-23	16	16	10	-36
-17	-27	16	16	10	-44
-18	-28	22	32	10	-46
-18	-29	16	22	11	-47
-19	-31	16	22	12	-50
-21	-33	35	0	12	-54
-21	-33	35	0	12	-54
-20	-30	35	35	10	-50
-22	-30	35	35	8	-52
-23	-32	16	35	9	-55
-22	-31	35	0	9	-53
-21	-29	35	0	8	-50
-20	-26	22	16	6	-46
-20	-23	22	16	3	-43
-17	-19	0	0	2	-36
-14	-14	16	0	0	-28
-14	-13	16	0	-1	-27
-17	-16	0	32	-1	-33
-17	-16	0	32	-1	-33
-15	-12	22	0	-3	-27
-12	-7	22	0	-5	-19
-9	-3	0	0	-6	-12
-7	0	0	35	-7	-7
-5	4	0	35	-9	-1
-3	6	32	0	-9	3
-5	6	32	0	-11	1
-4	8	22	32	-12	4
-2	11	16	16	-13	9
-1	12	16	16	-13	11
0	12	22	22	-12	12
1	11	22	22	-10	12
-2	6	32	16	-8	4
-5	1	32	16	-6	-4
-9	-4	16	32	-5	-13
-13	-9	0	0	-4	-22
-11	-7	0	0	-4	-18
-8	-3	0	22	-5	-11
-6	-2	0	22	-4	-8
-10	-5	35	0	-5	-15
-14	-9	0	32	-5	-23
-15	-9	0	32	-6	-24
-12	-5	22	22	-7	-17
-10	-3	22	22	-7	-13
-10	-3	35	35	-7	-13
-11	-6	35	35	-5	-17
-13	-8	0	0	-5	-21
-12	-5	22	35	-7	-17
-9	1	22	35	-10	-8
-7	4	22	35	-11	-3
-6	7	22	35	-13	1
-3	9	22	0	-12	6
-4	8	0	22	-12	4
-8	4	0	22	-12	-4
-11	1	0	0	-12	-10
-14	-1	0	0	-13	-15
-13	-1	22	0	-12	-14
-10	0	22	0	-10	-10
-8	1	0	16	-9	-7
-8	0	35	22	-8	-8
-10	-1	35	22	-9	-11
-11	0	22	0	-11	-11
-10	1	22	0	-11	-9
-8	2	0	16	-10	-6
-5	3	0	16	-8	-2
-3	4	0	16	-7	1
-2	4	0	0	-6	2
-2	2	0	0	-4	0
-3	0	0	0	-3	-3
-2	0	0	0	-2	-2
-2	-3	0	0	1	-5
-7	-10	0	0	3	-17
-15	-18	0	0	3	-33
-19	-23	0	16	4	-42
-16	-19	0	16	3	-35
-8	-10	0	0	2	-18
-3	-6	0	0	3	-9
-4	-9	0	0	5	-13
-9	-17	0	0	8	-26
-13	-22	0	0	9	-35
-12	-21	16	16	9	-33
-9	-17	16	16	8	-26
-7	-14	0	16	7	-21
-9	-14	0	0	5	-23
-14	-18	0	0	4	-32
-19	-21	0	16	2	-40
-22	-21	0	16	-1	-43
-21	-19	0	0	-2	-40
-20	-17	0	0	-3	-37
-21	-17	16	0	-4	-38
-25	-23	16	16	-2	-48
-31	-30	16	16	-1	-61
-33	-32	16	0	-1	-65
-32	-31	16	0	-1	-63
-28	-26	22	16	-2	-54
