# xoscope, version 1.5, 640x480
#
# -a 1
# -r 44100
# -s 100/1
# -t 0:0:x
# -c 4
# -d 4
# -m 0
# -p 2
# -g 2
# -x
# -1 0:1/1:z
# -2 +0:1/1:z
# -3 +0:1/1:z
# -4 -160:1/2:6
# -5 +0:1/1:0
# -6 +0:1/1:0
# -7 +0:1/1:0
# -8 +0:1/1:0
# a(14)	b(06)
#:1000000	1000000
10	32
10	32
70	32
95	32
100	35
105	57
110	57
105	35
105	35
110	0
110	64
105	64
105	90
105	90
105	48
105	48
105	35
105	187
105	187
40	344
-45	344
-70	487
-85	511
-90	511
-95	444
-95	444
-95	279
-95	279
-95	80
-95	65
-90	65
-95	115
-95	115
-90	97
-90	48
-90	48
-90	45
-90	45
-90	80
-90	80
-90	71
-75	71
40	71
85	107
100	107
105	113
105	80
105	80
105	35
110	35
110	32
105	32
105	50
105	50
105	50
105	22
105	22
105	48
105	48
105	35
-5	35
-60	35
-80	71
-90	71
-90	143
-95	178
-95	178
-95	157
-95	157
-95	86
-95	86
-95	32
-95	45
-90	45
-90	48
-90	48
-90	32
-90	22
-90	22
-90	45
-90	45
-90	45
-15	45
60	32
90	71
100	71
105	81
105	81
105	101
110	57
110	57
105	16
105	16
105	16
105	16
105	50
105	35
105	35
105	0
105	0
65	32
-35	50
-70	50
-85	35
-90	35
-90	35
-95	35
-95	50
-95	57
-95	57
-95	50
-95	50
-95	50
-90	50
-90	22
-90	32
-90	32
-90	0
-90	0
-90	0
-90	22
-90	22
-90	22
25	22
75	16
95	16
105	16
105	57
105	57
0	65
0	65
0	71
0	57
0	57
0	22
0	22
0	22
0	22
0	22
0	16
0	16
0	16
0	16
0	22
0	32
0	32
0	16
0	16
0	0
0	0
0	16
0	35
0	35
0	35
0	35
0	50
0	32
0	32
0	22
0	22
0	16
0	16
0	22
0	22
0	22
0	0
0	0
0	0
0	0
0	16
0	35
0	35
0	35
0	35
0	65
0	35
0	35
0	22
0	22
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	16
0	22
0	22
0	0
0	0
0	16
0	16
0	0
0	16
0	16
0	35
0	35
0	32
0	22
0	22
0	35
0	35
0	16
0	16
0	22
0	22
0	22
0	16
0	16
0	22
0	16
0	16
0	16
0	16
0	50
0	50
0	45
0	48
0	48
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	22
0	22
0	0
0	0
0	0
0	16
0	16
0	0
0	0
0	16
0	22
0	22
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	35
0	35
0	32
0	32
0	16
0	16
0	16
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	22
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	22
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	0
0	0
0	16
0	16
0	0
0	16
0	16
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	0
0	0
0	0
0	16
0	16
0	0
0	0
0	16
0	16
0	16
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	0
0	0
0	16
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
